Tranche d'âge,quartiers,population_count,arrondissements,secteur
0-2 ans,BELSUNCE,286,1ER ARRONDISSEMENT,1ER SECTEUR
3-5 ans,BELSUNCE,217,1ER ARRONDISSEMENT,1ER SECTEUR
6-10 ans,BELSUNCE,378,1ER ARRONDISSEMENT,1ER SECTEUR
11-17 ans,BELSUNCE,656,1ER ARRONDISSEMENT,1ER SECTEUR
18-24 ans,BELSUNCE,1077,1ER ARRONDISSEMENT,1ER SECTEUR
25-39 ans,BELSUNCE,2042,1ER ARRONDISSEMENT,1ER SECTEUR
40-54 ans,BELSUNCE,1752,1ER ARRONDISSEMENT,1ER SECTEUR
55-64 ans,BELSUNCE,1100,1ER ARRONDISSEMENT,1ER SECTEUR
65-79 ans,BELSUNCE,973,1ER ARRONDISSEMENT,1ER SECTEUR
80 ans ou plus,BELSUNCE,344,1ER ARRONDISSEMENT,1ER SECTEUR
0-2 ans,LE CHAPITRE,191,1ER ARRONDISSEMENT,1ER SECTEUR
3-5 ans,LE CHAPITRE,190,1ER ARRONDISSEMENT,1ER SECTEUR
6-10 ans,LE CHAPITRE,335,1ER ARRONDISSEMENT,1ER SECTEUR
11-17 ans,LE CHAPITRE,357,1ER ARRONDISSEMENT,1ER SECTEUR
18-24 ans,LE CHAPITRE,678,1ER ARRONDISSEMENT,1ER SECTEUR
25-39 ans,LE CHAPITRE,1519,1ER ARRONDISSEMENT,1ER SECTEUR
40-54 ans,LE CHAPITRE,1484,1ER ARRONDISSEMENT,1ER SECTEUR
55-64 ans,LE CHAPITRE,815,1ER ARRONDISSEMENT,1ER SECTEUR
65-79 ans,LE CHAPITRE,723,1ER ARRONDISSEMENT,1ER SECTEUR
80 ans ou plus,LE CHAPITRE,205,1ER ARRONDISSEMENT,1ER SECTEUR
0-2 ans,NOAILLES,232,1ER ARRONDISSEMENT,1ER SECTEUR
3-5 ans,NOAILLES,168,1ER ARRONDISSEMENT,1ER SECTEUR
6-10 ans,NOAILLES,228,1ER ARRONDISSEMENT,1ER SECTEUR
11-17 ans,NOAILLES,212,1ER ARRONDISSEMENT,1ER SECTEUR
18-24 ans,NOAILLES,694,1ER ARRONDISSEMENT,1ER SECTEUR
25-39 ans,NOAILLES,1248,1ER ARRONDISSEMENT,1ER SECTEUR
40-54 ans,NOAILLES,740,1ER ARRONDISSEMENT,1ER SECTEUR
55-64 ans,NOAILLES,275,1ER ARRONDISSEMENT,1ER SECTEUR
65-79 ans,NOAILLES,436,1ER ARRONDISSEMENT,1ER SECTEUR
