Genre,quartiers,population_count,arrondissements,secteur
Femmes,BELSUNCE,3964,1ER ARRONDISSEMENT,1ER SECTEUR
Hommes,BELSUNCE,4861,1ER ARRONDISSEMENT,1ER SECTEUR
Femmes,LE CHAPITRE,3224,1ER ARRONDISSEMENT,1ER SECTEUR
Hommes,LE CHAPITRE,3273,1ER ARRONDISSEMENT,1ER SECTEUR
Femmes,NOAILLES,1955,1ER ARRONDISSEMENT,1ER SECTEUR
Hommes,NOAILLES,2349,1ER ARRONDISSEMENT,1ER SECTEUR
Femmes,OPERA,2629,1ER ARRONDISSEMENT,1ER SECTEUR
Hommes,OPERA,2840,1ER ARRONDISSEMENT,1ER SECTEUR
Femmes,SAINT CHARLES,4393,1ER ARRONDISSEMENT,1ER SECTEUR
Hommes,SAINT CHARLES,3997,1ER ARRONDISSEMENT,1ER SECTEUR
Femmes,THIERS,2551,1ER ARRONDISSEMENT,1ER SECTEUR
Hommes,THIERS,2445,1ER ARRONDISSEMENT,1ER SECTEUR
Femmes,LA CAPELETTE,6928,10EME ARRONDISSEMENT,5EME SECTEUR
Hommes,LA CAPELETTE,6397,10EME ARRONDISSEMENT,5EME SECTEUR
Femmes,MENPENTI,2157,10EME ARRONDISSEMENT,5EME SECTEUR
Hommes,MENPENTI,2078,10EME ARRONDISSEMENT,5EME SECTEUR
Femmes,PONT DE VIVAUX,3514,10EME ARRONDISSEMENT,5EME SECTEUR
Hommes,PONT DE VIVAUX,3140,10EME ARRONDISSEMENT,5EME SECTEUR
Femmes,SAINT LOUP,8332,10EME ARRONDISSEMENT,5EME SECTEUR
Hommes,SAINT LOUP,7082,10EME ARRONDISSEMENT,5EME SECTEUR
Femmes,SAINT TRONC,7891,10EME ARRONDISSEMENT,5EME SECTEUR
Hommes,SAINT TRONC,6768,10EME ARRONDISSEMENT,5EME SECTEUR
Femmes,LA TIMONE,2963,10EME ARRONDISSEMENT,5EME SECTEUR
Hommes,LA TIMONE,2602,10EME ARRONDISSEMENT,5EME SECTEUR
Femmes,LES AOUATES,1114,11EME ARRONDISSEMENT,6EME SECTEUR
Hommes,LES AOUATES,1031,11EME ARRONDISSEMENT,6EME SECTEUR
Femmes,LA BARASSE,1154,11EME ARRONDISSEMENT,6EME SECTEUR
Hommes,LA BARASSE,1110,11EME ARRONDISSEMENT,6EME SECTEUR
Femmes,LES CAMOINS,2710,11EME ARRONDISSEMENT,6EME SECTEUR
Hommes,LES CAMOINS,2710,11EME ARRONDISSEMENT,6EME SECTEUR
Femmes,EOURES,795,11EME ARRONDISSEMENT,6EME SECTEUR
Hommes,EOURES,730,11EME ARRONDISSEMENT,6EME SECTEUR
Femmes,LA MILLIERE,1554,11EME ARRONDISSEMENT,6EME SECTEUR
Hommes,LA MILLIERE,1299,11EME ARRONDISSEMENT,6EME SECTEUR
Femmes,LA POMME,10063,11EME ARRONDISSEMENT,6EME SECTEUR
Hommes,LA POMME,8610,11EME ARRONDISSEMENT,6EME SECTEUR
Femmes,SAINT MARCEL,5365,11EME ARRONDISSEMENT,6EME SECTEUR
Hommes,SAINT MARCEL,4853,11EME ARRONDISSEMENT,6EME SECTEUR
Femmes,SAINT MENET,1471,11EME ARRONDISSEMENT,6EME SECTEUR
Hommes,SAINT MENET,1458,11EME ARRONDISSEMENT,6EME SECTEUR
Femmes,LA TREILLE,462,11EME ARRONDISSEMENT,6EME SECTEUR
Hommes,LA TREILLE,511,11EME ARRONDISSEMENT,6EME SECTEUR
Femmes,LA VALBARELLE,4526,11EME ARRONDISSEMENT,6EME SECTEUR
Hommes,LA VALBARELLE,4242,11EME ARRONDISSEMENT,6EME SECTEUR
Femmes,LA VALENTINE,1715,11EME ARRONDISSEMENT,6EME SECTEUR
Hommes,LA VALENTINE,1550,11EME ARRONDISSEMENT,6EME SECTEUR
Femmes,LES CAILLOLS,5869,12ÈME ARRONDISSEMENT,6EME SECTEUR
Hommes,LES CAILLOLS,5025,12ÈME ARRONDISSEMENT,6EME SECTEUR
Femmes,LA FOURRAGERE,4430,12ÈME ARRONDISSEMENT,6EME SECTEUR
Hommes,LA FOURRAGERE,3641,12ÈME ARRONDISSEMENT,6EME SECTEUR
Femmes,MONTOLIVET,6852,12ÈME ARRONDISSEMENT,6EME SECTEUR
Hommes,MONTOLIVET,5635,12ÈME ARRONDISSEMENT,6EME SECTEUR
Femmes,SAINT BARNABE,6721,12ÈME ARRONDISSEMENT,6EME SECTEUR
Hommes,SAINT BARNABE,5283,12ÈME ARRONDISSEMENT,6EME SECTEUR
Femmes,SAINT JEAN DU DESERT,2075,12ÈME ARRONDISSEMENT,6EME SECTEUR
Hommes,SAINT JEAN DU DESERT,1944,12ÈME ARRONDISSEMENT,6EME SECTEUR
Femmes,SAINT JULIEN,5741,12ÈME ARRONDISSEMENT,6EME SECTEUR
Hommes,SAINT JULIEN,4960,12ÈME ARRONDISSEMENT,6EME SECTEUR
Femmes,LES TROIS LUCS,3218,12ÈME ARRONDISSEMENT,6EME SECTEUR
