Tranche d'âge,BELSUNCE,LE CHAPITRE,NOAILLES,OPERA,SAINT CHARLES,THIERS,1er arrondissement,1er Secteur (1-7)
0-2 ans,286,191,232,175,281,102,1267,2201
3-5 ans,217,190,168,196,243,110,1124,1962
6-10 ans,378,335,228,203,391,166,1700,3198
11-17 ans,656,357,212,184,448,303,2159,4191
18-24 ans,1077,678,694,753,873,1006,5081,6850
25-39 ans,2042,1519,1248,1489,2128,1223,9649,16328
40-54 ans,1752,1484,740,953,1744,960,7632,14607
55-64 ans,1100,815,275,411,899,476,3976,8343
65-79 ans,973,723,436,747,1006,542,4428,11304
80 ans ou plus,344,205,73,358,377,109,1466,4365
Population,8825,6497,4304,5469,8391,4996,38482,73348
