Tranche d'âge,LA CAPELETTE,MENPENTI,PONT DE VIVAUX,SAINT LOUP,SAINT TRONC,LA TIMONE,10eme arrondissement,5eme Secteur (9-10)
0-2 ans,565,206,315,491,504,211,2290,4293
3-5 ans,510,139,258,529,469,170,2075,4361
6-10 ans,835,234,386,977,869,262,3564,7671
11-17 ans,862,276,489,1337,1350,414,4729,10444
18-24 ans,1438,381,722,1171,1275,1178,6165,13996
25-39 ans,3496,1076,1616,2536,2632,1176,12533,25656
40-54 ans,2404,794,1143,2673,2586,1011,10610,24736
55-64 ans,1383,536,648,2247,1725,561,7100,16163
65-79 ans,1303,400,740,2293,2081,446,7264,19418
80 ans ou plus,529,192,337,1158,1170,136,3521,9460
Population,13325,4235,6655,15414,14660,5564,59852,136199
