Tranche d'âge;LES ACCATES;LA BARASSE;LES CAMOINS;ÉOURES;LA MILLIÈRE;LA POMME;SAINT MARCEL;SAINT MENET;LA TREILLE;LA VALENTINE;LA VALBARELLE
0-2 ans;54;65;108;21;100;793;295;181;19;289;71
3-5 ans;79;60;136;67;111;743;371;98;23;308;74
6-10 ans;105;113;290;100;208;1274;680;146;79;512;174
11-17 ans;245;136;503;160;357;1834;951;281;87;833;277
18-24 ans;155;174;305;115;212;1527;623;174;65;767;239
25-39 ans;308;323;782;281;514;3895;1536;661;146;1735;502
40-54 ans;501;500;1234;341;534;3935;2124;601;238;1703;726
55-64 ans;240;442;828;225;391;2237;1315;348;151;1297;504
65-79 ans;270;327;830;224;380;2441;1651;372;123;1270;465
80 ans ou plus;193;104;342;80;186;1036;478;87;29;519;211
Population;2145;2264;5420;1525;2853;19673;10218;2929;972;8789;3266
