Tranche d'âge;LES CAILLOLS;LA FOURRAGÈRE;MONTOLIVET;SAINT BARNABÉ;SAINT JEAN DU DÉSERT;SAINT JULIEN;LES TROIS LUCS;12ème arrondissement;6ème Secteur
0-2 ans;404;280;346;321;131;297;192;1972;12322
3-5 ans;354;267;422;359;161;340;169;2072;10487
6-10 ans;643;422;672;575;267;605;312;3496;17684
11-17 ans;837;590;980;969;274;894;486;5030;24771
18-24 ans;709;530;820;822;344;663;405;4292;18350
25-39 ans;2092;1429;1951;1818;771;1876;1139;11076;57453
40-54 ans;2060;1593;2401;2331;762;2038;1136;12322;59696
55-64 ans;1294;994;1555;1486;453;1549;772;8105;38472
65-79 ans;1739;1317;2017;2045;601;1740;1028;10487;52934
80 ans ou plus;762;647;1323;1277;254;698;463;5424;26106
Population;10894;8071;12487;12003;4019;10701;6101;64276;318275
