Tranche d'âge;CHÂTEAU GOMBERT;LA CROIX ROUGE;MALPASSÉ;LES MÉDECINS;LES MOURETTES;LES OLIVES;PALAMA;LA ROSE;SAINT JÉROME;SAINT JUST;SAINT MITRE
0-2 ans;371;247;414;35;36;609;86;569;274;83;289
3-5 ans;305;180;413;43;51;633;75;568;281;130;311
6-10 ans;591;402;752;86;83;1261;142;1038;541;1063;845
11-17 ans;570;724;1078;127;117;1257;205;1459;829;1364;867
18-24 ans;1058;994;987;80;117;1254;149;1309;1669;1374;633
25-39 ans;1985;1409;1694;182;201;2732;340;2237;1781;3157;1507
40-54 ans;1422;1266;1741;333;387;2814;438;2345;1583;2748;1572
55-64 ans;881;926;1170;164;272;2000;318;1539;1126;1651;1439
65-79 ans;841;787;1188;238;317;2172;570;1626;931;1764;1267
80 ans ou plus;363;300;504;99;223;933;204;875;386;846;445
Population;8498;7024;9941;1385;1802;15177;2470;13528;9439;15275;8882
