Tranche d'âge;LES ARNAVAUX;BON SECOURS;LE CANET;LE MERLAN;SAINT BARTHÉLÉMY;SAINT JOSEPH;SAINTE MARTHE;14ème arrondissement
0-2 ans;283;367;361;389;852;189;298;2740
3-5 ans;357;283;405;443;953;218;252;2911
6-10 ans;537;620;660;691;1586;276;401;4771
11-17 ans;653;640;833;837;1979;377;471;5790
18-24 ans;486;625;674;1044;1546;342;567;5284
25-39 ans;1072;1589;1649;1794;3058;875;1422;11459
40-54 ans;985;2117;1371;1537;2763;829;1071;11084
55-64 ans;507;1185;887;1219;1751;493;564;6604
65-79 ans;498;1194;838;1199;1455;532;497;6213
80 ans ou plus;244;378;305;417;524;336;170;2373
Population;5631;8998;7982;9971;16468;4467;5714;59230
