Tranche d'âge;LES AYGALADES;LES BORELS;LA CABUCELLE;LA CALADE;LES CROTTES;LA DELORME;NOTRE DAME LIMITE;SAINT ANTOINE;SAINT LOUIS;VERDURON;LA VISTE
0-2 ans;229;58;407;308;180;268;403;303;808;345;301
3-5 ans;307;76;412;331;126;352;442;302;683;345;336
6-10 ans;617;138;821;498;290;488;826;505;962;617;397
11-17 ans;768;226;768;708;350;881;1420;876;1128;1072;798
18-24 ans;662;231;877;614;400;861;1435;587;973;931;538
25-39 ans;1035;375;1456;1470;917;1976;3105;1528;2173;2087;1398
40-54 ans;1080;431;1686;1218;744;1143;2203;1374;2060;1651;1267
55-64 ans;668;325;798;711;322;662;1229;931;994;820;641
65-79 ans;499;312;842;746;288;726;1032;899;999;888;604
80 ans ou plus;317;67;265;243;68;278;433;381;375;313;277
Population;6076;2227;8302;6733;3687;8437;11528;7202;11732;8301;6566
