Tranche d'âge;L'ESTAQUE;LES RIAUX;SAINT ANDRE;SAINT HENRI;16eme arrondissement;8eme Secteur (15-16);Marseille
0-2 ans;162;24;124;162;473;4134;30764
3-5 ans;204;34;134;197;568;4253;31045
6-10 ans;368;56;244;343;1012;7038;51707
11-17 ans;477;95;303;458;1333;9841;70442
18-24 ans;375;50;333;428;1185;9094;83310
25-39 ans;942;150;556;760;2408;17863;173061
40-54 ans;1280;151;717;1047;3196;18373;164647
55-64 ans;821;70;595;726;2213;10318;101267
65-79 ans;755;71;518;697;2041;9976;117834
80 ans ou plus;424;21;215;327;986;4024;53139
Population;5807;723;3740;5145;15415;94916;877215
