Tranche d'âge,ARENC,LES GRANDS CARMES,HOTEL DE VILLE,LA JOLIETTE,2eme arrondissement,2eme Secteur (2-3),Marseille
0-2 ans,59,180,134,389,762,3315,30764
3-5 ans,47,190,124,353,714,3226,31045
6-10 ans,108,312,225,640,1285,5280,51707
11-17 ans,171,489,258,701,1619,6707,70442
18-24 ans,123,781,395,1018,2318,8618,83310
25-39 ans,327,1483,1313,2680,5804,17369,173061
40-54 ans,344,1302,951,1796,4394,15108,164647
55-64 ans,209,817,680,1013,2719,8113,101267
65-79 ans,225,1023,1067,969,3285,8634,117834
80 ans ou plus,55,321,492,386,1253,3437,53139
Population,1668,6899,5640,9946,24153,79806,877215
