Tranche d'âge,LA BELLE DE MAI,SAINT LAZARE,SAINT MAURONT,LA VILLETTE,3eme arrondissement,2eme Secteur (2-3),Marseille
0-2 ans,663,536,899,456,2554,3315,30764
3-5 ans,667,512,913,420,2512,3226,31045
6-10 ans,1078,805,1427,684,3994,5280,51707
11-17 ans,1344,1169,1684,890,5087,6707,70442
18-24 ans,1367,2168,1752,1013,6300,8618,83310
25-39 ans,3216,2881,3387,2081,11565,17369,173061
40-54 ans,3450,2566,2788,1910,10714,15108,164647
55-64 ans,1609,1354,1425,1006,5394,8113,101267
65-79 ans,1641,1307,1470,932,5349,8634,117834
80 ans ou plus,614,558,556,456,2184,3437,53139
Population,15649,13855,16301,9848,55653,79806,877215
