Tranche d'âge,LA BLANCARDE,LES CHARTREUX,LES CHUTES LAVIES,LES CINQ AVENUES,4eme arrondissement,3eme Secteur (4-5),Marseille
0-2 ans,588,386,318,431,1723,3073,30764
3-5 ans,552,457,295,493,1798,3020,31045
6-10 ans,852,702,510,699,2764,4675,51707
11-17 ans,1145,841,613,928,3528,5915,70442
18-24 ans,1447,1090,671,951,4159,11226,83310
25-39 ans,3309,2724,1874,3016,10923,22412,173061
40-54 ans,2931,2119,1754,2589,9394,17316,164647
55-64 ans,1771,1314,1162,1409,5656,9783,101267
65-79 ans,2007,1112,1332,1916,6366,11659,117834
80 ans ou plus,982,566,877,1010,3435,5685,53139
Population,15583,11311,9408,13442,49744,94764,877215
