Tranche d'âge,BAILLE,LE CAMAS,LA CONCEPTION,SAINT PIERRE,5eme arrondissement,3eme Secteur (4-5),Marseille
0-2 ans,244,522,320,264,1350,3073,30764
3-5 ans,225,475,286,238,1223,3020,31045
6-10 ans,308,686,536,381,1912,4675,51707
11-17 ans,425,946,565,451,2387,5915,70442
18-24 ans,2817,1146,1534,1571,7067,11226,83310
25-39 ans,2340,4162,2948,2039,11489,22412,173061
40-54 ans,1371,3233,1934,1384,7923,17316,164647
55-64 ans,734,1741,837,815,4127,9783,101267
65-79 ans,959,2008,1075,1251,5293,11659,117834
80 ans ou plus,381,795,449,624,2250,5685,53139
Population,9804,15714,10484,9018,45020,94764,877215
