Tranche d'âge;CASTELLANE;LODI;NOTRE DAME DU MONT;PALAIS DE JUSTICE;LA PRÉFECTURE;VAUBAN;6ème arrondissement;4ème Secteur (6-8)
0-2 ans;201;232;206;165;73;276;1153;3432
3-5 ans;115;232;170;125;65;247;954;3425
6-10 ans;237;360;271;225;94;433;1631;5822
11-17 ans;309;476;423;334;205;578;2325;8378
18-24 ans;763;1072;632;373;441;898;4180;10058
25-39 ans;1529;2166;1761;1259;827;2258;9801;23379
40-54 ans;1069;1504;1192;906;562;1732;6986;22574
55-64 ans;613;926;663;511;337;1060;4110;14485
65-79 ans;916;1346;675;697;355;1215;5198;20116
80 ans ou plus;397;803;274;307;107;580;2468;9969
Population;6152;9119;6267;4902;3086;9278;38804;122218
