Tranche d'âge;BOMPARD;ENDOUME;LES ÎLES;LE PHARO;LE ROUCAS BLANC;SAINT LAMBERT;SAINT VICTOR;7ème arrondissement
0-2 ans;118;143;0;177;55;273;169;934
3-5 ans;87;101;0;211;75;250;113;838
6-10 ans;199;194;0;333;119;438;215;1497
11-17 ans;293;268;0;433;211;522;306;2032
18-24 ans;155;162;0;396;140;509;407;1769
25-39 ans;609;788;7;1172;541;2112;1441;6679
40-54 ans;942;927;7;1203;726;1805;1365;6975
55-64 ans;553;639;43;700;550;1096;786;4367
65-79 ans;775;1095;164;1289;751;1472;1321;6876
80 ans ou plus;322;444;4;613;308;684;524;2899
Population;4053;4761;224;6537;3475;9169;6647;34866
