Tranche d'âge;BONNEVEINE;LES GOUDES;MONTREDON;PERIER;LA PLAGE;LA POINTE ROUGE;LE ROUET;SAINT GINIEZ;SAINTE ANNE;LA VIEILLE CHAPELLE
0-2 ans;152;5;100;366;39;231;487;460;258;181
3-5 ans;167;28;131;427;47;238;448;522;235;211
6-10 ans;259;9;253;677;68;447;680;832;522;435
11-17 ans;366;28;424;1233;100;709;794;1035;605;642
18-24 ans;280;22;340;975;186;531;1243;1170;548;470
25-39 ans;1055;70;730;2164;352;1101;3103;2525;1707;1275
40-54 ans;1080;101;1050;2592;581;1680;2498;2771;1820;1594
55-64 ans;678;77;882;1597;462;1108;1470;1711;1253;1018
65-79 ans;1108;174;1180;2145;554;1821;2057;2725;1959;1488
80 ans ou plus;527;84;344;1213;274;848;917;1529;1095;893
Population;5665;593;5440;13377;2732;8598;13704;15280;10079;7946
