Tranche d'âge;LES BAUMETTES;LE CABOT;CARPIAGNE;MAZARGUES;LA PANOUSE;LE REDON;SORMIOU;STE MARGUERITE;VAUFRÈGES;9ème arrondissement;9ème Secteur (9-10)
0-2 ans;173;302;0;452;103;70;216;681;7;2003;4983
3-5 ans;145;321;0;348;134;129;251;754;5;2086;4361
6-10 ans;329;529;0;890;362;205;376;1346;19;4108;7671
11-17 ans;440;826;0;1304;428;312;576;1888;67;5842;11683
18-24 ans;593;678;88;1392;420;2186;558;1919;87;7931;13996
25-39 ans;1458;1695;353;2737;784;852;1764;4103;73;13163;26596
40-54 ans;1451;2059;74;3406;1101;764;1366;3788;118;14126;24736
55-64 ans;833;1325;9;2446;774;495;1090;2220;92;9064;16163
65-79 ans;871;2339;0;3200;1004;597;1228;2782;133;12154;19418
80 ans ou plus;343;1312;0;1434;517;157;647;1498;32;5939;9460
Population;6691;11275;526;17810;5725;5348;7577;20364;611;75347;136199
