CODE_INSEE,population,COMMUNE,Type de flux,nb_points,pav_pour_1000_hab
06025,1422,LE BROC,EMBALLAGES MENAGERS,3,2.109704641350211
06025,1422,LE BROC,PAPIER,7,4.922644163150492
06025,1422,LE BROC,TEXTILE,2,1.4064697609001406
06025,1422,LE BROC,VERRE,9,6.329113924050633
06025,1422,LE BROC,ORDURES MENAGERES,0,0.0
06021,716,BONSON,EMBALLAGES MENAGERS,3,4.189944134078212
06021,716,BONSON,PAPIER,3,4.189944134078212
06021,716,BONSON,VERRE,3,4.189944134078212
06021,716,BONSON,ORDURES MENAGERES,0,0.0
06021,716,BONSON,TEXTILE,0,0.0
06066,1608,GILETTE,EMBALLAGES MENAGERS,10,6.218905472636816
06066,1608,GILETTE,PAPIER,8,4.975124378109452
06066,1608,GILETTE,VERRE,8,4.975124378109452
06066,1608,GILETTE,ORDURES MENAGERES,0,0.0
06066,1608,GILETTE,TEXTILE,0,0.0
06064,4287,GATTIERES,EMBALLAGES MENAGERS,4,0.933053417308141
06064,4287,GATTIERES,PAPIER,10,2.332633543270352
06064,4287,GATTIERES,VERRE,11,2.5658968975973875
06064,4287,GATTIERES,ORDURES MENAGERES,0,0.0
06064,4287,GATTIERES,TEXTILE,0,0.0
06006,2300,ASPREMONT,EMBALLAGES MENAGERS,8,3.4782608695652177
06006,2300,ASPREMONT,ORDURES MENAGERES,3,1.3043478260869565
06006,2300,ASPREMONT,PAPIER,2,0.8695652173913044
06006,2300,ASPREMONT,VERRE,5,2.1739130434782608
06006,2300,ASPREMONT,TEXTILE,0,0.0
06020,626,LA BOLLENE VESUBIE,EMBALLAGES MENAGERS,3,4.792332268370607
06020,626,LA BOLLENE VESUBIE,PAPIER,2,3.1948881789137378
06020,626,LA BOLLENE VESUBIE,TEXTILE,1,1.5974440894568689
06020,626,LA BOLLENE VESUBIE,VERRE,3,4.792332268370607
06020,626,LA BOLLENE VESUBIE,ORDURES MENAGERES,0,0.0
06013,627,BELVEDERE,EMBALLAGES MENAGERS,2,3.189792663476874
06013,627,BELVEDERE,PAPIER,2,3.189792663476874
06013,627,BELVEDERE,TEXTILE,2,3.189792663476874
06013,627,BELVEDERE,VERRE,3,4.784688995215311
06013,627,BELVEDERE,ORDURES MENAGERES,0,0.0
06127,1385,SAINT MARTIN VESUBIE,EMBALLAGES MENAGERS,5,3.6101083032490977
06127,1385,SAINT MARTIN VESUBIE,ORDURES MENAGERES,2,1.4440433212996389
06127,1385,SAINT MARTIN VESUBIE,PAPIER,5,3.6101083032490977
06127,1385,SAINT MARTIN VESUBIE,VERRE,6,4.332129963898917
06127,1385,SAINT MARTIN VESUBIE,TEXTILE,0,0.0
06103,1815,ROQUEBILLIERE,EMBALLAGES MENAGERS,8,4.407713498622589
06103,1815,ROQUEBILLIERE,ORDURES MENAGERES,1,0.5509641873278236
06103,1815,ROQUEBILLIERE,PAPIER,3,1.6528925619834711
06103,1815,ROQUEBILLIERE,VERRE,7,3.856749311294766
06103,1815,ROQUEBILLIERE,TEXTILE,0,0.0
06156,185,VENANSON,EMBALLAGES MENAGERS,1,5.405405405405405
06156,185,VENANSON,PAPIER,1,5.405405405405405
06156,185,VENANSON,TEXTILE,1,5.405405405405405
06156,185,VENANSON,VERRE,1,5.405405405405405
06156,185,VENANSON,ORDURES MENAGERES,0,0.0
06144,539,LA TOUR,EMBALLAGES MENAGERS,4,7.421150278293135
06144,539,LA TOUR,PAPIER,2,3.7105751391465676
06144,539,LA TOUR,TEXTILE,1,1.8552875695732838
06144,539,LA TOUR,VERRE,6,11.131725417439704
06144,539,LA TOUR,ORDURES MENAGERES,0,0.0
06042,673,CLANS,EMBALLAGES MENAGERS,6,8.915304606240714
06042,673,CLANS,PAPIER,4,5.943536404160475
06042,673,CLANS,TEXTILE,1,1.4858841010401187
06042,673,CLANS,VERRE,7,10.401188707280832
06042,673,CLANS,ORDURES MENAGERES,0,0.0
06009,124,BAIROLS,EMBALLAGES MENAGERS,1,8.064516129032258
06009,124,BAIROLS,PAPIER,1,8.064516129032258
