NOM,CODE_INSEE,dist_V,dist_OM,dist_T,dist_P,dist_E
LE BROC,06025,319,2020,818,352,713
BONSON,06021,276,3115,2897,279,356
GILETTE,06066,246,2718,1455,246,280
GATTIERES,06064,286,1709,1933,289,442
ASPREMONT,06006,323,919,4301,472,281
LA BOLLENE-VESUBIE,06020,488,2456,891,512,493
BELVEDERE,06013,662,2459,1655,1650,1639
SAINT-MARTIN-VESUBIE,06127,623,1129,2344,679,674
ROQUEBILLIERE,06103,176,441,1257,343,192
VENANSON,06156,285,1819,340,281,291
LA TOUR,06144,278,9931,1767,370,342
CLANS,06042,195,9983,472,234,217
BAIROLS,06009,381,10000,447,382,386
VALDEBLORE,06153,264,5748,480,327,305
MARIE,06080,380,9985,411,415,378
SAINT-JEAN-CAP-FERRAT,06121,371,2018,584,370,675
ILONSE,06072,171,10000,374,360,202
RIMPLAS,06102,128,9920,658,182,144
SAINT-SAUVEUR-SUR-TINEE,06129,156,9982,209,186,148
ISOLA,06073,3481,3576,3063,3011,3487
ROURE,06111,225,9875,1138,440,225
ROUBION,06110,587,9748,1343,968,613
SAINT-ETIENNE-DE-TINEE,06120,466,741,2252,927,508
SAINT-DALMAS-LE-SELVAGE,06119,5875,6294,1285,5962,5961
LANTOSQUE,06074,874,1806,3036,878,880
DURANUS,06055,299,4553,2680,298,324
UTELLE,06151,465,6017,1479,467,463
LEVENS,06075,506,617,3393,506,488
TOURRETTE-LEVENS,06147,388,519,5221,390,436
LA ROQUETTE-SUR-VAR,06109,379,1325,2515,379,1056
SAINT-BLAISE,06117,493,751,5254,493,483
CASTAGNIERS,06034,522,715,4809,522,534
FALICON,06060,224,1244,1417,269,669
SAINT-ANDRE-DE-LA-ROCHE,06114,258,475,1217,268,353
CARROS,06033,272,1673,3005,320,521
LA GAUDE,06065,360,994,3025,456,786
SAINT-JEANNET,06122,483,931,2905,483,511
VENCE,06157,249,953,6027,264,335
CAGNES-SUR-MER,06027,212,743,571,225,422
VILLEFRANCHE-SUR-MER,06159,199,1159,1248,214,302
EZE,06059,288,3351,2120,327,394
CAP-D'AIL,06032,173,6326,487,197,216
SAINT-LAURENT-DU-VAR,06123,157,517,1293,157,323
LA TRINITE,06149,273,2649,672,298,675
NICE,06088,166,936,408,168,504
COLOMARS,06046,446,759,1719,457,495
SAINT-MARTIN-DU-VAR,06126,361,519,2492,362,383
BEAULIEU-SUR-MER,06011,191,480,416,184,260
DRAP,06054,1034,3455,1421,1083,1097
CHATEAUNEUF-VILLEVIEILLE,06039,2033,2076,7150,2041,2078
TOURNEFORT,06146,194,9439,1246,216,218
