DEPCO,NOM_CO,dist_V,dist_Bf,dist_OM,dist_Bio,dist_T,dist_P,dist_E,dist_C
13201,Marseille 1er Arrondissemen,67,67,132,66,185,10000,10000,153
13202,Marseille 2e Arrondissemen,72,71,109,78,500,10000,10000,396
13203,Marseille 3e Arrondissemen,78,78,154,93,288,10000,10000,997
13204,Marseille 4e Arrondissemen,73,73,277,74,325,10000,10000,700
13205,Marseille 5e Arrondissemen,57,57,152,64,217,10000,10000,339
13206,Marseille 6e Arrondissemen,71,71,256,67,294,10000,10000,229
13207,Marseille 7e Arrondissemen,104,101,231,123,217,10000,10000,612
13208,Marseille 8e Arrondissemen,117,138,2183,203,597,10000,10000,1030
13209,Marseille 9e Arrondissemen,141,168,3602,279,621,10000,10000,1199
13210,Marseille 10e Arrondissemen,105,120,1682,193,375,10000,10000,822
13211,Marseille 11e Arrondissemen,189,215,5872,301,1087,10000,10000,1643
13212,Marseille 12e Arrondissemen,153,202,2354,230,628,10000,10000,970
13213,Marseille 13e Arrondissemen,165,255,2069,346,860,10000,10000,2920
13214,Marseille 14e Arrondissemen,167,186,308,285,706,10000,10000,3085
13215,Marseille 15e Arrondissemen,184,196,350,290,1048,10000,10000,5755
13216,Marseille 16e Arrondissemen,150,173,327,185,367,10000,10000,7142
