DEPCO,NOM_CO,Quartier,dist_V,dist_Bf,dist_OM,dist_Bio,dist_T,dist_P,dist_E,dist_C
13201,Marseille 1er Arrondissemen,BELSUNCE,76.77342419080068,76.8747870528109,121.10391822827938,70.41822827938671,215.6022146507666,10000.0,10000.0,146.98722316865417
13201,Marseille 1er Arrondissemen,CHAPITRE,55.880923450789794,55.09113001215067,115.85662211421628,58.77278250303767,124.12272174969624,10000.0,10000.0,198.13608748481167
13201,Marseille 1er Arrondissemen,NOAILLES,73.81096681096682,77.08946608946609,96.38383838383838,73.52236652236653,220.57142857142858,10000.0,10000.0,128.26118326118325
13201,Marseille 1er Arrondissemen,OPERA,70.25937031484258,64.93853073463268,70.28485757121439,69.30434782608695,198.94902548725636,10000.0,10000.0,85.976011994003
13201,Marseille 1er Arrondissemen,SAINT CHARLES,60.624249699879954,60.55222088835534,244.92557022809123,63.60504201680672,128.36854741896758,10000.0,10000.0,229.11524609843937
13201,Marseille 1er Arrondissemen,THIERS,62.61485557083906,63.60797799174691,126.35488308115544,60.60797799174691,224.7331499312242,10000.0,10000.0,207.73039889958736
13202,Marseille 2e Arrondissemen,ARENC,117.0886075949367,116.77215189873418,235.084388185654,256.8987341772152,1601.8354430379748,10000.0,10000.0,2577.3459915611816
13202,Marseille 2e Arrondissemen,LES GRANDS CARMES,67.35,67.74642857142857,114.41428571428571,61.12738095238095,337.6892857142857,10000.0,10000.0,158.07857142857142
13202,Marseille 2e Arrondissemen,HOTEL DE VILLE,76.96779661016949,76.7364406779661,104.07457627118644,61.78559322033898,516.9754237288136,10000.0,10000.0,175.9228813559322
13202,Marseille 2e Arrondissemen,LA JOLIETTE,47.86815068493151,45.73116438356164,62.10445205479452,60.705479452054796,250.06164383561645,10000.0,10000.0,299.05308219178085
13203,Marseille 3e Arrondissemen,BELLE DE MAI,77.83116036505866,78.70534550195568,100.15710560625814,89.82007822685789,324.85528031290744,10000.0,10000.0,877.0560625814863
13203,Marseille 3e Arrondissemen,SAINT LAZARE,51.76960784313726,51.03921568627451,83.55228758169935,59.42483660130719,244.7467320261438,10000.0,10000.0,578.1732026143791
13203,Marseille 3e Arrondissemen,SAINT MAURONT,98.93570219966159,100.16751269035532,268.2901861252115,124.96700507614213,306.6472081218274,10000.0,10000.0,1422.191201353638
13203,Marseille 3e Arrondissemen,LA VILLETTE,56.68387096774194,54.0258064516129,134.51612903225808,70.35913978494624,173.352688172043,10000.0,10000.0,866.8602150537635
13204,Marseille 4e Arrondissemen,LA BLANCARDE,77.30382293762575,77.32863849765258,329.96579476861166,78.34808853118712,318.0845070422535,10000.0,10000.0,713.7491616364856
13204,Marseille 4e Arrondissemen,LES CHARTREUX,79.00150943396227,75.91622641509434,203.59245283018868,68.45283018867924,438.8762264150943,10000.0,10000.0,954.0196226415094
13204,Marseille 4e Arrondissemen,LES CHUTES LAVIES,79.225,79.226,441.165,98.187,338.717,10000.0,10000.0,874.104
13204,Marseille 4e Arrondissemen,LES CINQ AVENUES,59.67469000729395,59.16411378555799,172.14660831509846,56.90882567469001,213.85339168490154,10000.0,10000.0,317.4325309992706
13205,Marseille 5e Arrondissemen,BAILLE,58.95652173913044,58.80586450960566,200.4448938321537,66.737108190091,291.13852376137515,10000.0,10000.0,202.13751263902932
13205,Marseille 5e Arrondissemen,LE CAMAS,51.25505857294995,50.7454739084132,107.16187433439829,58.78541001064963,166.4744408945687,10000.0,10000.0,285.7252396166134
13205,Marseille 5e Arrondissemen,LA CONCEPTION,61.56735057983943,61.13024085637824,206.8099910793934,59.25156110615522,204.51828724353257,10000.0,10000.0,280.0820695807315
13205,Marseille 5e Arrondissemen,SAINT PIERRE,59.075977653631284,61.82569832402235,122.23128491620112,77.0022346368715,254.34972067039106,10000.0,10000.0,728.3608938547486
13206,Marseille 6e Arrondissemen,CASTELLANE,60.41291108404385,56.95127892813642,170.85870889159563,60.61875761266748,284.7831912302071,10000.0,10000.0,189.57125456760048
13206,Marseille 6e Arrondissemen,LODI,48.84433374844334,47.846824408468244,163.34620174346202,50.08468244084683,225.68991282689913,10000.0,10000.0,160.2079701120797
13206,Marseille 6e Arrondissemen,NOTRE DAME DU MONT,57.49041095890411,59.35890410958904,132.04292237442922,59.586301369863016,193.4538812785388,10000.0,10000.0,153.22465753424657
13206,Marseille 6e Arrondissemen,PALAIS DE JUSTICE,87.22222222222223,87.53025302530253,257.1826182618262,66.12211221122112,407.15291529152915,10000.0,10000.0,366.34433443344335
13206,Marseille 6e Arrondissemen,PREFECTURE,77.38,80.80428571428571,113.42714285714285,61.48142857142857,355.0257142857143,10000.0,10000.0,162.72
13206,Marseille 6e Arrondissemen,VAUBAN,84.55541718555418,84.51369863013699,490.3673723536737,86.52179327521793,311.3966376089664,10000.0,10000.0,284.9115815691158
13207,Marseille 7e Arrondissemen,BOMPARD,131.64434180138568,123.31408775981524,442.0061585835258,145.61277906081602,220.23864511162432,10000.0,10000.0,848.9676674364896
13207,Marseille 7e Arrondissemen,ENDOUME,101.26760563380282,101.17169684775318,221.1200536552649,119.51441985244801,221.47015425888665,10000.0,10000.0,830.4466800804829
13207,Marseille 7e Arrondissemen,ENDOUME,101.26760563380282,101.17169684775318,221.1200536552649,119.51441985244801,221.47015425888665,10000.0,10000.0,830.4466800804829
13207,Marseille 7e Arrondissemen,LE PHARO,40.013333333333335,38.22666666666667,48.09,63.51,168.25,10000.0,10000.0,259.44
13207,Marseille 7e Arrondissemen,LE ROUCAS BLANC,144.3409090909091,145.35858585858585,238.9604377104377,190.12878787878788,312.1060606060606,10000.0,10000.0,799.3291245791246
13207,Marseille 7e Arrondissemen,SAINT LAMBERT,87.98763825634353,84.61158100195185,162.27130774235525,94.34547820429408,166.42875731945347,10000.0,10000.0,336.1242680546519
